kind	key	n_chapters	chapters	hits
B-term	None	4	r7-gateway-session-core.md,r8a-configuration-surface.md,r8b-cli-trunk-and-interaction.md,r9d-tool-surface-and-guard-placement.md	r7-gateway-session-core.md:492 || r8a-configuration-surface.md:294 || r8b-cli-trunk-and-interaction.md:541 || r9d-tool-surface-and-guard-placement.md:603
B-term	ASCII	3	r7b-platform-integration.md,r8a-configuration-surface.md,r9c-external-interfaces.md	r7b-platform-integration.md:753 || r8a-configuration-surface.md:896 || r9c-external-interfaces.md:470
B-term	CI	3	r11a-ops-and-delivery.md,r6-memory-provider-ecosystem.md,r8d-self-custody.md	r11a-ops-and-delivery.md:13 || r6-memory-provider-ecosystem.md:410 || r8d-self-custody.md:532
B-term	KEY	3	r5-session-state-and-persistence.md,r8a-configuration-surface.md,r9a-capability-organization.md	r5-session-state-and-persistence.md:213 || r8a-configuration-surface.md:665 || r9a-capability-organization.md:164
B-term	PKCE	3	r6-memory-provider-ecosystem.md,r8c-dashboard-and-web.md,r9d-tool-surface-and-guard-placement.md	r6-memory-provider-ecosystem.md:389 || r8c-dashboard-and-web.md:350 || r9d-tool-surface-and-guard-placement.md:156
B-term	SDK	3	r11b-the-unwritten-layer.md,r4-execution-environments.md,r6-memory-provider-ecosystem.md	r11b-the-unwritten-layer.md:178 || r4-execution-environments.md:32 || r6-memory-provider-ecosystem.md:398
B-term	SSH	3	r1-what-is-hermes-agent.md,r4-execution-environments.md,r7c-gateway-periphery-and-scheduling.md	r1-what-is-hermes-agent.md:41 || r4-execution-environments.md:354 || r7c-gateway-periphery-and-scheduling.md:68
B-term	SSRF	3	r11b-the-unwritten-layer.md,r3-tool-infrastructure.md,r9d-tool-surface-and-guard-placement.md	r11b-the-unwritten-layer.md:37 || r3-tool-infrastructure.md:217 || r9d-tool-surface-and-guard-placement.md:505
B-term	TUI	3	r10-client-interface-layer.md,r10b-desktop-application.md,r8b-cli-trunk-and-interaction.md	r10-client-interface-layer.md:254 || r10b-desktop-application.md:14 || r8b-cli-trunk-and-interaction.md:12
B-term	config.yaml	3	r8a-configuration-surface.md,r8b-cli-trunk-and-interaction.md,r8c-dashboard-and-web.md	r8a-configuration-surface.md:14 || r8b-cli-trunk-and-interaction.md:552 || r8c-dashboard-and-web.md:238
B-term	terminal	3	r4-execution-environments.md,r8a-configuration-surface.md,r9d-tool-surface-and-guard-placement.md	r4-execution-environments.md:89 || r8a-configuration-surface.md:294 || r9d-tool-surface-and-guard-placement.md:583
B-term	ACP	2	r10-client-interface-layer.md,r9c-external-interfaces.md	r10-client-interface-layer.md:167 || r9c-external-interfaces.md:608
B-term	AGENTS	2	r5-session-state-and-persistence.md,r8b-cli-trunk-and-interaction.md	r5-session-state-and-persistence.md:54 || r8b-cli-trunk-and-interaction.md:374
