file	line	anchor	reason
notes/r2-22-credential-pool.md	695	slash-commands.md:127	2/3 个候选够长
notes/r2-23-classify-retry-fallback-cache.md	288	provider-runtime.md:180	2/2 个候选够长
notes/r2-23-classify-retry-fallback-cache.md	295	context-compression-and-caching.md:396	长度可定 -> website/docs/developer-guide/context-compression-and-caching.md,但内容判据不过
notes/r2-23-classify-retry-fallback-cache.md	298	agent-loop.md:108	2/2 个候选够长
notes/r2-23-classify-retry-fallback-cache.md	306	provider-runtime.md:173	2/2 个候选够长
notes/r2-90-doc-conflict-rulings.md	12	agent-loop.md:124	2/2 个候选够长
notes/r2-90-doc-conflict-rulings.md	13	agent-loop.md:108	2/2 个候选够长
notes/r2-90-doc-conflict-rulings.md	14	agent-loop.md:133	2/2 个候选够长
notes/r2-90-doc-conflict-rulings.md	16	provider-runtime.md:180	2/2 个候选够长
notes/r2-90-doc-conflict-rulings.md	17	provider-runtime.md:196	2/2 个候选够长
notes/r2-90-doc-conflict-rulings.md	58	agent-loop.md:124	2/2 个候选够长
notes/r3-01-registry-dispatch.md	7	registry.py:30	5/5 个候选够长
notes/r3-01-registry-dispatch.md	29	registry.py:192	3/5 个候选够长
notes/r3-01-registry-dispatch.md	56	registry.py:472	长度可定 -> tools/registry.py,但内容判据不过
notes/r3-01-registry-dispatch.md	79	registry.py:676	长度可定 -> tools/registry.py,但内容判据不过
notes/r3-10-approval-security.md	519	security.md:101	2/2 个候选够长
notes/r3-10-approval-security.md	531	security.md:87	2/2 个候选够长
notes/r3-10-approval-security.md	540	security.md:665	长度可定 -> website/docs/user-guide/security.md,但内容判据不过
notes/r3-10-approval-security.md	564	security.md:654	2/2 个候选够长
notes/r3-20-schema-output-toolsearch.md	556	configuration.md:679	2/4 个候选够长
notes/r3-20-schema-output-toolsearch.md	556	reference/tools-reference.md:89	2/2 个候选够长
notes/r3-20-schema-output-toolsearch.md	557	developer-guide/plugins/index.md:643	2/2 个候选够长
notes/r3-30-execute-code-mcp-client.md	639	security.md:507	2/2 个候选够长
notes/r3-30-execute-code-mcp-client.md	651	mcp.md:565	2/2 个候选够长
notes/r3-30-execute-code-mcp-client.md	652	security.md:696	长度可定 -> website/docs/user-guide/security.md,但内容判据不过
notes/r3-30-execute-code-mcp-client.md	652	contributing.md:213	2/2 个候选够长
notes/r3-30-execute-code-mcp-client.md	653	cli-commands.md:504	2/2 个候选够长
notes/r3-30-execute-code-mcp-client.md	657	mcp.md:593	长度可定 -> website/docs/user-guide/features/mcp.md,但内容判据不过
notes/r4-01-environment-abstraction.md	29	base.py:527	4/9 个候选够长
notes/r4-01-environment-abstraction.md	30	base.py:576	4/9 个候选够长
notes/r4-01-environment-abstraction.md	31	base.py:592	4/9 个候选够长
notes/r4-01-environment-abstraction.md	33	base.py:356	4/9 个候选够长
notes/r4-01-environment-abstraction.md	35	base.py:374	4/9 个候选够长
notes/r4-01-environment-abstraction.md	65	base.py:634	4/9 个候选够长
notes/r4-01-environment-abstraction.md	77	base.py:666	4/9 个候选够长
notes/r4-01-environment-abstraction.md	80	base.py:697	4/9 个候选够长
notes/r4-01-environment-abstraction.md	82	base.py:717	4/9 个候选够长
notes/r4-01-environment-abstraction.md	84	base.py:781	4/9 个候选够长
notes/r4-01-environment-abstraction.md	103	base.py:448	4/9 个候选够长
notes/r4-01-environment-abstraction.md	103	base.py:1238	2/9 个候选够长
notes/r4-01-environment-abstraction.md	106	base.py:891	2/9 个候选够长
notes/r4-01-environment-abstraction.md	113	base.py:950	2/9 个候选够长
notes/r4-01-environment-abstraction.md	115	base.py:967	2/9 个候选够长
notes/r4-01-environment-abstraction.md	118	base.py:898	2/9 个候选够长
notes/r4-01-environment-abstraction.md	119	base.py:906	2/9 个候选够长
notes/r4-01-environment-abstraction.md	122	base.py:910	2/9 个候选够长
notes/r4-01-environment-abstraction.md	124	base.py:535	4/9 个候选够长
notes/r4-01-environment-abstraction.md	127	base.py:882	2/9 个候选够长
notes/r4-02-docker-local-terminal-process.md	37	tools.md:88	2/2 个候选够长
notes/r4-20-remote-backends-serverless.md	35	base.py:576	4/9 个候选够长
notes/r4-20-remote-backends-serverless.md	36	base.py:634	4/9 个候选够长
